peak_mb	test
1034.078	built_ins_RegExp_property_escapes_generated_Script___Pau_Cin_Hau_js
1032.516	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tai_Viet_js
1032.203	built_ins_RegExp_property_escapes_generated_Script_Extensions___Gunjala_Gondi_js
1029.938	built_ins_RegExp_property_escapes_generated_Script___Brahmi_js
1025.641	built_ins_RegExp_property_escapes_generated_Script_Extensions___Inherited_js
1024.078	built_ins_RegExp_property_escapes_generated_Script_Extensions___Kawi_js
1023.547	built_ins_RegExp_property_escapes_generated_Script_Extensions___Katakana_js
1023.031	built_ins_RegExp_property_escapes_generated_Script___Palmyrene_js
1023.000	built_ins_RegExp_property_escapes_generated_Script_Extensions___Kannada_js
1022.453	built_ins_RegExp_property_escapes_generated_Script_Extensions___Kaithi_js
1021.891	built_ins_RegExp_property_escapes_generated_Script_Extensions___Javanese_js
1021.812	built_ins_RegExp_property_escapes_generated_Script_Extensions___Gujarati_js
1021.641	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tai_Tham_js
1021.375	built_ins_RegExp_property_escapes_generated_Script_Extensions___Inscriptional_Parthian_js
1020.828	built_ins_RegExp_property_escapes_generated_Script_Extensions___Inscriptional_Pahlavi_js
1019.547	built_ins_RegExp_property_escapes_generated_Script___Bopomofo_js
1015.859	built_ins_RegExp_property_escapes_generated_Script_Extensions___Imperial_Aramaic_js
1014.875	built_ins_RegExp_property_escapes_generated_Script_Extensions___Hiragana_js
1014.109	built_ins_RegExp_property_escapes_generated_Script_Extensions___Hebrew_js
1012.688	built_ins_RegExp_property_escapes_generated_Script___Pahawh_Hmong_js
