test_name	exit_code	rss_before_kb	rss_after_kb	rss_delta_kb
built_ins_Atomics_waitAsync_no_spurious_wakeup_on_compareExchange_js	0	198368	202992	4624
built_ins_Atomics_waitAsync_no_spurious_wakeup_on_or_js	0	207680	211856	4176
built_ins_Atomics_waitAsync_bigint_no_spurious_wakeup_on_compareExchange_js	0	154560	158512	3952
built_ins_Atomics_waitAsync_bigint_no_spurious_wakeup_on_store_js	0	167456	172336	4880
built_ins_Atomics_waitAsync_no_spurious_wakeup_on_exchange_js	0	202992	207664	4672
built_ins_Atomics_waitAsync_good_views_js	0	181680	185872	4192
built_ins_Atomics_waitAsync_bigint_no_spurious_wakeup_on_exchange_js	0	158512	163104	4592
built_ins_Atomics_waitAsync_bigint_no_spurious_wakeup_on_sub_js	0	172336	176816	4480
built_ins_Atomics_waitAsync_bigint_no_spurious_wakeup_on_add_js	0	145232	149920	4688
built_ins_Atomics_waitAsync_no_spurious_wakeup_on_store_js	0	211856	215552	3696
built_ins_Atomics_waitAsync_no_spurious_wakeup_on_sub_js	0	215552	219872	4320
built_ins_Atomics_xor_descriptor_js	0	87248	93456	6208
built_ins_Atomics_xor_expected_return_value_js	0	93456	94272	816
built_ins_Atomics_xor_good_views_js	0	94272	98032	3760
built_ins_Atomics_xor_validate_arraytype_before_value_coercion_js	0	115424	117488	2064
built_ins_Atomics_xor_not_a_constructor_js	0	111872	112400	528
built_ins_Atomics_wait_value_not_equal_js	0	150592	155104	4512
built_ins_Atomics_waitAsync_validate_arraytype_before_index_coercion_js	0	223168	225872	2704
built_ins_Atomics_waitAsync_bigint_symbol_for_index_throws_js	0	187632	189040	1408
built_ins_Atomics_wait_validate_arraytype_before_value_coercion_js	0	148080	150592	2512
built_ins_Atomics_waitAsync_bigint_not_an_object_throws_js	0	181456	182928	1472
built_ins_Atomics_waitAsync_bigint_null_for_timeout_js	0	184112	185664	1552
built_ins_Atomics_waitAsync_bad_range_js	0	175760	176736	976
built_ins_Atomics_waitAsync_returns_result_object_value_is_string_not_equal_js	0	217280	218256	976
built_ins_Atomics_wait_waiterlist_order_of_operations_is_fifo_js	0	164896	171792	6896
built_ins_Atomics_waitAsync_bigint_non_shared_bufferdata_throws_js	0	179680	180768	1088
built_ins_Atomics_waitAsync_bigint_not_a_typedarray_throws_js	0	180768	181456	688
built_ins_Atomics_waitAsync_bigint_null_bufferdata_throws_js	0	182928	184112	1184
built_ins_Atomics_waitAsync_bigint_out_of_range_index_throws_js	0	185664	186624	960
built_ins_Atomics_xor_bad_range_js	0	229600	233296	3696
built_ins_Atomics_waitAsync_bigint_symbol_for_timeout_throws_js	0	189040	190336	1296
