test_name	path	status	failure_kind	message	category	subcategory	features	includes	native_harness	elapsed_us	rss_delta_kb
built_ins_RegExp_unicodeSets_generated_character_class_escape_difference_character_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-class-escape-difference-character.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /^[\d--_]+$/v: Annex B legacy syntax not allowed under `u` flag	built_ins	RegExp	regexp-v-flag	regExpUtils.js	0	13566	2208
built_ins_RegExp_unicodeSets_generated_character_class_escape_difference_character_property_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-class-escape-difference-character-property-escape.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /^[\d--\p{ASCII_Hex_Digit}]+$/v: Annex B legacy syntax not allowed under `u` flag	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	13178	1856
built_ins_RegExp_unicodeSets_generated_character_class_escape_difference_property_of_strings_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-class-escape-difference-property-of-strings-escape.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /^[\d--\p{Emoji_Keycap_Sequence}]+$/v: Annex B legacy syntax not allowed under `u` flag	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	13247	2304
built_ins_RegExp_unicodeSets_generated_character_class_escape_difference_string_literal_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-class-escape-difference-string-literal.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /^[\d--\q{0|2|4|9\uFE0F\u20E3}]+$/v: Annex B legacy syntax not allowed under `u` flag	built_ins	RegExp	regexp-v-flag	regExpUtils.js	0	14005	2192
built_ins_RegExp_unicodeSets_generated_character_class_escape_union_property_of_strings_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-class-escape-union-property-of-strings-escape.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[dp{Emoji_Keycap_Sequence}]` should match #?????? (U+000023 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	14775	2528
built_ins_RegExp_unicodeSets_generated_character_class_escape_union_string_literal_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-class-escape-union-string-literal.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[dq{0|2|4|9??????}]` should match 9?????? (U+000039 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-v-flag	regExpUtils.js	0	14127	2192
built_ins_RegExp_unicodeSets_generated_character_class_intersection_character_class_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-class-intersection-character-class-escape.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[[0-9]&&d]` should match 0 (U+000030)	built_ins	RegExp	regexp-v-flag	regExpUtils.js	0	12784	2512
built_ins_RegExp_unicodeSets_generated_character_class_intersection_character_property_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-class-intersection-character-property-escape.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[[0-9]&&p{ASCII_Hex_Digit}]` should match 0 (U+000030)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	13687	2208
built_ins_RegExp_unicodeSets_generated_character_class_union_property_of_strings_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-class-union-property-of-strings-escape.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[[0-9]p{Emoji_Keycap_Sequence}]` should match #?????? (U+000023 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	16465	2192
built_ins_RegExp_unicodeSets_generated_character_class_union_string_literal_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-class-union-string-literal.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[[0-9]q{0|2|4|9??????}]` should match 9?????? (U+000039 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-v-flag	regExpUtils.js	0	14225	2304
built_ins_RegExp_unicodeSets_generated_character_difference_character_class_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-difference-character-class-escape.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /^[_--\d]+$/v: invalid character class range: _--	built_ins	RegExp	regexp-v-flag	regExpUtils.js	0	13680	2128
built_ins_RegExp_unicodeSets_generated_character_difference_character_property_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-difference-character-property-escape.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /^[_--\p{ASCII_Hex_Digit}]+$/v: invalid character class range: _--	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	13503	1904
built_ins_RegExp_unicodeSets_generated_character_property_escape_difference_character_class_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-property-escape-difference-character-class-escape.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /^[\p{ASCII_Hex_Digit}--\d]+$/v: invalid character class range: \p{ASCII_Hex_Digit}	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	13069	2096
built_ins_RegExp_unicodeSets_generated_character_property_escape_union_property_of_strings_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-property-escape-union-property-of-strings-escape.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[p{ASCII_Hex_Digit}p{Emoji_Keycap_Sequence}]` should match #?????? (U+000023 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	22425	2624
built_ins_RegExp_unicodeSets_generated_character_property_escape_union_string_literal_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-property-escape-union-string-literal.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[p{ASCII_Hex_Digit}q{0|2|4|9??????}]` should match 9?????? (U+000039 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	19651	2272
built_ins_RegExp_unicodeSets_generated_character_union_property_of_strings_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-union-property-of-strings-escape.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[_p{Emoji_Keycap_Sequence}]` should match #?????? (U+000023 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	20818	2272
built_ins_RegExp_unicodeSets_generated_character_union_string_literal_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/character-union-string-literal.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[_q{0|2|4|9??????}]` should match 9?????? (U+000039 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-v-flag	regExpUtils.js	0	19628	1984
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_difference_character_class_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-difference-character-class-escape.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /^[\p{Emoji_Keycap_Sequence}--\d]+$/v: invalid character class range: \p{Emoji_Keycap_Sequence}	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	16980	2352
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_difference_character_class_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-difference-character-class.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[p{Emoji_Keycap_Sequence}--[0-9]]` should match #?????? (U+000023 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	17957	2032
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_difference_character_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-difference-character.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[p{Emoji_Keycap_Sequence}--_]` should match #?????? (U+000023 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	19412	2192
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_difference_character_property_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-difference-character-property-escape.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /^[\p{Emoji_Keycap_Sequence}--\p{ASCII_Hex_Digit}]+$/v: invalid character class range: \p{Emoji_Keycap_Sequence}	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	17303	2512
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_difference_string_literal_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-difference-string-literal.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[p{Emoji_Keycap_Sequence}--q{0|2|4|9??????}]` should match #?????? (U+000023 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	18053	2112
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_intersection_character_class_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-intersection-character-class-escape.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /^[\p{Emoji_Keycap_Sequence}&&\d]+$/v: invalid character class range: \p{Emoji_Keycap_Sequence}	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	20210	2384
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_intersection_character_property_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-intersection-character-property-escape.js	FAIL	parse	exit code 1: Uncaught SyntaxError: Invalid regular expression: /^[\p{Emoji_Keycap_Sequence}&&\p{ASCII_Hex_Digit}]+$/v: invalid character class range: \p{Emoji_Keycap_Sequence}	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	20684	2464
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_intersection_property_of_strings_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-intersection-property-of-strings-escape.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[p{Emoji_Keycap_Sequence}&&p{Emoji_Keycap_Sequence}]` should match #?????? (U+000023 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	19508	2080
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_intersection_string_literal_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-intersection-string-literal.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[p{Emoji_Keycap_Sequence}&&q{0|2|4|9??????}]` should match 9?????? (U+000039 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	17176	2656
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_union_character_class_escape_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-union-character-class-escape.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[p{Emoji_Keycap_Sequence}d]` should match #?????? (U+000023 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	18146	2080
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_union_character_class_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-union-character-class.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[p{Emoji_Keycap_Sequence}[0-9]]` should match #?????? (U+000023 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	15516	2208
built_ins_RegExp_unicodeSets_generated_property_of_strings_escape_union_character_js	ref/test262/test/built-ins/RegExp/unicodeSets/generated/property-of-strings-escape-union-character.js	FAIL	assert	exit code 1: Uncaught Test262Error: `[p{Emoji_Keycap_Sequence}_]` should match #?????? (U+000023 U+00FE0F U+0020E3)	built_ins	RegExp	regexp-unicode-property-escapes;regexp-v-flag	regExpUtils.js	0	17647	1984
