test_name	exit_code	elapsed_us
annexB_language_function_code_switch_case_func_skip_early_err_for_js	0	4742
annexB_language_function_code_switch_dflt_func_existing_block_fn_no_init_js	0	4108
annexB_language_function_code_switch_dflt_func_existing_block_fn_update_js	0	4371
annexB_language_function_code_switch_dflt_func_existing_var_update_js	0	4032
annexB_language_global_code_block_decl_global_block_scoping_js	0	6237
annexB_language_function_code_switch_dflt_func_skip_early_err_js	0	3933
annexB_language_global_code_block_decl_global_existing_block_fn_update_js	0	4475
annexB_language_function_code_switch_case_func_skip_early_err_for_in_js	0	5195
annexB_language_global_code_block_decl_global_existing_fn_update_js	0	4307
annexB_language_function_code_switch_dflt_func_skip_early_err_block_js	0	4479
annexB_language_function_code_switch_case_func_existing_block_fn_update_js	0	5262
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_try_js	0	3386
annexB_language_function_code_if_stmt_else_decl_func_existing_fn_update_js	0	3320
annexB_language_function_code_if_decl_else_stmt_func_skip_dft_param_js	0	3160
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_for_js	0	3580
annexB_language_function_code_if_decl_no_else_func_existing_block_fn_update_js	0	3195
annexB_language_function_code_if_decl_no_else_func_skip_early_err_block_js	0	3127
annexB_language_function_code_if_stmt_else_decl_func_existing_fn_no_init_js	0	3410
annexB_language_function_code_if_decl_no_else_func_block_scoping_js	0	3465
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_js	0	3473
annexB_language_function_code_if_decl_no_else_func_existing_var_update_js	0	3163
annexB_language_function_code_if_decl_no_else_func_no_skip_try_js	0	3143
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_for_in_js	0	3348
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_for_of_js	0	3503
annexB_language_function_code_if_decl_no_else_func_skip_early_err_try_js	0	3338
annexB_language_function_code_if_decl_no_else_func_existing_fn_update_js	0	3124
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_for_js	0	3434
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_switch_js	0	3230
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_try_js	0	3353
annexB_language_function_code_switch_case_decl_nostrict_js	0	3269
annexB_language_function_code_if_decl_else_decl_a_func_skip_early_err_for_in_js	0	3548
annexB_language_function_code_if_decl_else_decl_a_func_block_scoping_js	0	3653
annexB_language_function_code_if_decl_else_decl_b_func_existing_block_fn_no_init_js	0	3092
annexB_language_function_code_if_decl_else_decl_a_func_skip_early_err_try_js	0	3364
annexB_language_function_code_if_decl_else_decl_b_func_no_skip_try_js	0	3403
annexB_language_function_code_if_decl_else_decl_a_func_no_skip_try_js	0	3243
annexB_language_function_code_function_redeclaration_block_js	0	2947
annexB_language_function_code_if_decl_else_decl_b_func_existing_fn_no_init_js	0	3137
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_for_js	0	3342
annexB_language_function_code_if_decl_else_decl_a_func_skip_early_err_block_js	0	3225
annexB_language_function_code_if_decl_else_decl_b_func_skip_dft_param_js	0	3221
annexB_language_function_code_if_decl_else_decl_a_func_skip_param_js	0	3331
annexB_language_function_code_if_decl_else_decl_b_func_existing_var_no_init_js	0	2990
annexB_language_function_code_if_decl_else_decl_b_func_existing_var_update_js	0	3097
annexB_language_function_code_if_decl_else_decl_a_func_existing_fn_no_init_js	0	3924
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_block_js	0	3320
annexB_language_function_code_if_decl_else_stmt_func_existing_fn_no_init_js	0	3029
annexB_language_function_code_if_decl_else_decl_a_func_skip_dft_param_js	0	3129
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_switch_js	0	3251
annexB_language_function_code_if_decl_else_decl_b_func_skip_param_js	0	3094
annexB_language_function_code_block_decl_nostrict_js	0	3355
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_try_js	0	3393
annexB_language_function_code_if_decl_else_stmt_func_existing_block_fn_update_js	0	3089
annexB_language_function_code_if_decl_else_stmt_func_init_js	0	3266
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_block_scoping_js	0	5415
