feature	failures
(none)	42
Proxy	4
Symbol	1
Symbol.unscopables	2
TypedArray	1
arrow-function	3
async-functions	1
async-iteration	1
class	9
class-fields-private	1
class-fields-public	5
class-methods-private	2
class-static-fields-public	1
generators	7
globalThis	2
let	1
new.target	2
regexp-lookbehind	17
regexp-named-groups	15
