test_name	exit_code	rss_before_kb	rss_after_kb	rss_delta_kb
built_ins_Atomics_wait_value_not_equal_js	0	59568	75264	15696
built_ins_Atomics_wait_validate_arraytype_before_value_coercion_js	0	45280	59568	14288
built_ins_Atomics_wait_waiterlist_order_of_operations_is_fifo_js	0	88656	101280	12624
built_ins_Atomics_xor_bigint_good_views_js	0	121920	132608	10688
built_ins_Atomics_xor_descriptor_js	0	142832	152784	9952
built_ins_Atomics_xor_bad_range_js	0	110704	117152	6448
built_ins_Atomics_xor_expected_return_value_js	0	152784	153440	656
built_ins_Atomics_xor_good_views_js	0	153456	158576	5120
built_ins_Atomics_xor_not_a_constructor_js	0	185296	185936	640
built_ins_Atomics_xor_validate_arraytype_before_value_coercion_js	0	191184	195040	3856
built_ins_Atomics_wait_false_for_timeout_agent_js	0	111360	114608	3248
built_ins_Atomics_wait_good_views_js	0	115568	119440	3872
built_ins_Atomics_wait_symbol_for_timeout_throws_agent_js	0	236448	240416	3968
built_ins_Atomics_wait_negative_timeout_js	0	139712	140224	512
built_ins_Atomics_wait_cannot_suspend_throws_js	0	106272	107104	832
built_ins_Atomics_wait_true_for_timeout_agent_js	0	246880	256672	9792
built_ins_Atomics_wait_bigint_was_woken_before_timeout_js	0	102192	106272	4080
built_ins_Atomics_wait_null_for_timeout_agent_js	0	214816	219360	4544
built_ins_Atomics_wait_not_an_object_throws_js	0	212720	213776	1056
built_ins_Atomics_wait_no_spurious_wakeup_on_and_js	0	147344	163856	16512
built_ins_Atomics_wait_negative_index_throws_js	0	135648	136432	784
built_ins_Atomics_wait_symbol_for_value_throws_agent_js	0	241728	245840	4112
built_ins_Atomics_wait_no_spurious_wakeup_on_exchange_js	0	167984	171344	3360
built_ins_Atomics_wait_non_shared_bufferdata_throws_js	0	211488	212160	672
built_ins_Atomics_wait_undefined_index_defaults_to_zero_js	0	262848	265712	2864
built_ins_Atomics_wait_out_of_range_index_throws_js	0	225680	226464	784
built_ins_Atomics_wait_no_spurious_wakeup_on_sub_js	0	191328	201008	9680
built_ins_Atomics_wait_symbol_for_index_throws_agent_js	0	231040	235520	4480
built_ins_Atomics_wait_symbol_for_value_throws_js	0	245840	246864	1024
built_ins_Atomics_wait_symbol_for_index_throws_js	0	235520	236448	928
built_ins_Atomics_wait_true_for_timeout_js	0	256672	257616	944
built_ins_Atomics_sub_expected_return_value_js	0	167728	168464	736
built_ins_Atomics_wait_bigint_no_spurious_wakeup_on_or_js	0	268128	271760	3632
built_ins_Atomics_store_good_views_js	0	95920	101472	5552
built_ins_Atomics_sub_non_shared_bufferdata_js	0	184624	195184	10560
built_ins_Atomics_wait_bigint_no_spurious_wakeup_on_sub_js	0	282304	285584	3280
built_ins_Atomics_store_not_a_constructor_js	0	118064	124608	6544
built_ins_Atomics_store_descriptor_js	0	73584	82832	9248
