delta_mb	test
162.297	language_literals_regexp_S7_8_5_A2_1_T2_js
161.078	annexB_built_ins_RegExp_RegExp_leading_escape_BMP_js
160.750	language_literals_regexp_S7_8_5_A1_4_T2_js
160.719	language_literals_regexp_S7_8_5_A2_4_T2_js
160.031	annexB_built_ins_RegExp_RegExp_trailing_escape_BMP_js
159.344	language_literals_regexp_S7_8_5_A1_1_T2_js
119.219	language_expressions_dynamic_import_await_import_evaluation_js
97.859	language_destructuring_binding_syntax_recursive_array_and_object_patterns_js
90.422	built_ins_Function_prototype_toString_built_in_function_object_js
87.438	language_expressions_async_arrow_function_prototype_js
58.859	language_expressions_class_cpn_class_expr_accessors_computed_property_name_from_await_expression_js
56.719	built_ins_TypedArrayConstructors_ctors_typedarray_arg_src_typedarray_resizable_buffer_js
55.609	built_ins_Object_defineProperties_typedarray_backed_by_resizable_buffer_js
55.125	language_module_code_top_level_await_syntax_export_class_decl_await_expr_literal_string_js
55.016	language_module_code_top_level_await_syntax_for_of_await_expr_obj_literal_js
54.391	built_ins_Array_prototype_copyWithin_resizable_buffer_js
54.188	built_ins_TypedArray_prototype_toLocaleString_resizable_buffer_js
54.109	built_ins_Atomics_notify_bigint_notify_all_on_loc_js
53.531	annexB_language_global_code_block_decl_global_existing_global_init_js
53.094	built_ins_Atomics_waitAsync_bigint_good_views_js
