article-layout
blog-homepage
cern
cern_servers
cnn_lite
combo_001_document_structure
combo_002_technical_docs
contact-form
css1_test
dashboard-simple
error-page
footer-showcase
libcurl
html2_spec
live-demo
lodash
musl
newsletter
npr
pricing-table
sample5
table-comparison
about Elements 97.9%, Spans 77.8%, Text 96.8%.
clojure Elements 99.5%, Spans 88.9%, Text 97.2%.
combo_003_complete_article Elements 61.5%, Spans 50.0%, Text 95.9%.
community Elements 0.0%, Spans 100.0%, Text 0.0%.
demo Elements 89.2%, Spans 100.0%, Text 82.2%.
documentation Elements 95.6%, Spans 100.0%, Text 90.5%.
flex Elements 89.5%, Spans 14.3%, Text 93.9%.
hn Elements 99.1%, Spans 98.7%, Text 99.6%.
html5-kitchen-sink Elements 93.7%, Spans 100.0%, Text 93.8%.
jqueryui Elements 90.3%, Spans 100.0%, Text 93.0%.
json-en Elements 6.0%, Spans 100.0%, Text 9.3%.
latex Elements 18.8%, Spans 0.0%, Text 34.1%.
legible Elements 95.6%, Spans 100.0%, Text 96.6%.
linuxmint Elements 52.0%, Spans 41.7%, Text 59.7%.
momentjs Elements 99.0%, Spans 100.0%, Text 95.4%.
page_facatology Elements 98.7%, Spans 100.0%, Text 95.9%.
paulgraham Elements 3.3%, Spans 100.0%, Text 0.0%.
report Elements 99.6%, Spans 100.0%, Text 100.0%.
sample1 Elements 94.6%, Spans 66.7%, Text 100.0%.
sample2 Elements 100.0%, Spans 100.0%, Text 83.3%.
sqlite-about Elements 30.0%, Spans 100.0%, Text 35.3%.
underscorejs Elements 95.0%, Spans 100.0%, Text 90.1%.
watercss Elements 91.6%, Spans 50.0%, Text 91.5%.
zengarden Elements 47.9%, Spans 0.0%, Text 0.0%.
