test_name	exit_code	elapsed_us
annexB_language_function_code_switch_case_func_skip_early_err_for_js	0	19021
annexB_language_function_code_switch_dflt_func_existing_block_fn_no_init_js	0	18490
annexB_language_function_code_switch_dflt_func_existing_block_fn_update_js	0	17771
annexB_language_function_code_switch_dflt_func_existing_var_update_js	0	17652
annexB_language_global_code_block_decl_global_block_scoping_js	0	19389
annexB_language_function_code_switch_dflt_func_skip_early_err_js	0	20377
annexB_language_global_code_block_decl_global_existing_block_fn_update_js	0	50676
annexB_language_function_code_switch_case_func_skip_early_err_for_in_js	0	18647
annexB_language_global_code_block_decl_global_existing_fn_update_js	0	21054
annexB_language_function_code_switch_dflt_func_skip_early_err_block_js	0	18781
annexB_language_function_code_switch_case_func_existing_block_fn_update_js	0	18416
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_try_js	0	12015
annexB_language_function_code_if_stmt_else_decl_func_existing_fn_update_js	0	11287
annexB_language_function_code_if_decl_else_stmt_func_skip_dft_param_js	0	11179
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_for_js	0	11202
annexB_language_function_code_if_decl_no_else_func_existing_block_fn_update_js	0	10458
annexB_language_function_code_if_decl_no_else_func_skip_early_err_block_js	0	10571
annexB_language_function_code_if_stmt_else_decl_func_existing_fn_no_init_js	0	11148
annexB_language_function_code_if_decl_no_else_func_block_scoping_js	0	11444
annexB_language_function_code_if_decl_else_stmt_func_skip_early_err_js	0	10804
annexB_language_function_code_if_decl_no_else_func_existing_var_update_js	0	10379
annexB_language_function_code_if_decl_no_else_func_no_skip_try_js	0	10325
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_for_in_js	0	11958
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_for_of_js	0	12473
annexB_language_function_code_if_decl_no_else_func_skip_early_err_try_js	0	11431
annexB_language_function_code_if_decl_no_else_func_existing_fn_update_js	0	10326
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_for_js	0	13763
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_switch_js	0	15488
annexB_language_function_code_if_stmt_else_decl_func_skip_early_err_try_js	0	16004
annexB_language_function_code_switch_case_decl_nostrict_js	0	12257
annexB_language_function_code_if_decl_else_decl_a_func_skip_early_err_for_in_js	0	11835
annexB_language_function_code_if_decl_else_decl_a_func_block_scoping_js	0	10858
annexB_language_function_code_if_decl_else_decl_b_func_existing_block_fn_no_init_js	0	9975
annexB_language_function_code_if_decl_else_decl_a_func_skip_early_err_try_js	0	10939
annexB_language_function_code_if_decl_else_decl_b_func_no_skip_try_js	0	10283
annexB_language_function_code_if_decl_else_decl_a_func_no_skip_try_js	0	11432
annexB_language_function_code_function_redeclaration_block_js	0	10354
annexB_language_function_code_if_decl_else_decl_b_func_existing_fn_no_init_js	0	10630
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_for_js	0	10900
annexB_language_function_code_if_decl_else_decl_a_func_skip_early_err_block_js	0	11664
annexB_language_function_code_if_decl_else_decl_b_func_skip_dft_param_js	0	10069
annexB_language_function_code_if_decl_else_decl_a_func_skip_param_js	0	10184
annexB_language_function_code_if_decl_else_decl_b_func_existing_var_no_init_js	0	9636
annexB_language_function_code_if_decl_else_decl_b_func_existing_var_update_js	0	10196
annexB_language_function_code_if_decl_else_decl_a_func_existing_fn_no_init_js	0	12912
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_block_js	0	10247
annexB_language_function_code_if_decl_else_stmt_func_existing_fn_no_init_js	0	11298
annexB_language_function_code_if_decl_else_decl_a_func_skip_dft_param_js	0	11390
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_switch_js	0	11759
annexB_language_function_code_if_decl_else_decl_b_func_skip_param_js	0	10780
annexB_language_function_code_block_decl_nostrict_js	0	10458
annexB_language_function_code_if_decl_else_decl_b_func_skip_early_err_try_js	0	13833
annexB_language_function_code_if_decl_else_stmt_func_existing_block_fn_update_js	0	11677
annexB_language_function_code_if_decl_else_stmt_func_init_js	0	12042
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_block_scoping_js	0	20324
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_skip_early_err_block_js	0	18883
annexB_language_function_code_block_decl_func_skip_arguments_js	0	22419
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_fn_no_init_js	0	18603
annexB_language_expressions_assignmenttargettype_callexpression_as_for_of_lhs_js	0	19457
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_non_enumerable_global_init_js	0	42561
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_block_fn_update_js	0	21219
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_block_fn_no_init_js	0	20910
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_var_update_js	0	16137
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_skip_early_err_for_js	0	24171
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_skip_early_err_try_js	0	20046
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_update_js	0	16719
annexB_language_function_code_block_decl_func_skip_early_err_try_js	0	16827
annexB_language_expressions_assignmenttargettype_callexpression_as_for_in_lhs_js	0	16672
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_var_no_init_js	0	16037
annexB_language_expressions_assignmenttargettype_callexpression_in_postfix_update_js	0	16168
annexB_language_expressions_assignmenttargettype_callexpression_js	0	17071
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_existing_fn_update_js	0	14851
annexB_language_function_code_block_decl_func_skip_early_err_switch_js	0	14729
annexB_language_expressions_template_literal_legacy_octal_escape_sequence_non_strict_js	0	16942
annexB_language_function_code_block_decl_func_block_scoping_js	0	14899
annexB_language_function_code_block_decl_func_skip_dft_param_js	0	15411
annexB_language_function_code_block_decl_func_existing_block_fn_update_js	0	15609
annexB_language_function_code_block_decl_func_existing_fn_no_init_js	0	18004
annexB_language_function_code_block_decl_func_skip_early_err_for_in_js	0	16479
annexB_language_function_code_block_decl_func_existing_var_no_init_js	0	17269
annexB_language_function_code_block_decl_func_init_js	0	17451
annexB_language_function_code_block_decl_func_skip_early_err_block_js	0	20417
annexB_language_function_code_block_decl_func_skip_early_err_js	0	14957
annexB_language_eval_code_indirect_global_switch_case_eval_global_existing_var_no_init_js	0	20845
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_global_init_js	0	39096
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_update_js	0	16657
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_update_js	0	18427
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_skip_early_err_block_js	0	19172
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_skip_early_err_for_of_js	0	16639
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_init_js	0	39525
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_skip_early_err_for_js	0	15755
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_existing_block_fn_update_js	0	16437
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_skip_early_err_for_of_js	0	16844
annexB_language_eval_code_indirect_global_if_stmt_else_decl_eval_global_block_scoping_js	0	16016
annexB_language_eval_code_indirect_global_switch_dflt_eval_global_init_js	0	48200
