peak_rss_mb	test_name
610.500	built_ins_RegExp_property_escapes_generated_Script_Extensions___Inscriptional_Parthian_js
610.266	built_ins_RegExp_property_escapes_generated_Script_Extensions___Avestan_js
607.578	built_ins_RegExp_property_escapes_generated_Script___Saurashtra_js
604.844	built_ins_RegExp_property_escapes_generated_General_Category___Private_Use_js
604.438	built_ins_RegExp_property_escapes_generated_Script___Lydian_js
604.375	built_ins_RegExp_property_escapes_generated_Script_Extensions___Armenian_js
602.656	built_ins_RegExp_property_escapes_generated_Script___Cuneiform_js
601.484	built_ins_RegExp_property_escapes_generated_Script_Extensions___Hebrew_js
601.281	built_ins_RegExp_property_escapes_generated_Script_Extensions___Nushu_js
599.250	built_ins_RegExp_property_escapes_generated_Script_Extensions___Inscriptional_Pahlavi_js
597.516	built_ins_RegExp_property_escapes_generated_General_Category___Paragraph_Separator_js
594.000	built_ins_RegExp_property_escapes_generated_Script___Lycian_js
593.359	built_ins_RegExp_property_escapes_generated_Script_Extensions___Inherited_js
593.109	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tangut_js
592.875	built_ins_RegExp_property_escapes_generated_Script___Samaritan_js
591.828	built_ins_RegExp_property_escapes_generated_Script___Coptic_js
591.234	built_ins_RegExp_property_escapes_generated_Script_Extensions___Hatran_js
590.750	built_ins_RegExp_property_escapes_generated_Script_Extensions___Nko_js
589.250	built_ins_RegExp_property_escapes_generated_Script_Extensions___Arabic_js
587.844	built_ins_RegExp_property_escapes_generated_Script___Lisu_js
586.812	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tangsa_js
585.438	built_ins_RegExp_property_escapes_generated_General_Category___Other_Symbol_js
584.281	built_ins_RegExp_property_escapes_generated_Script_Extensions___Newa_js
581.328	built_ins_RegExp_property_escapes_generated_Script___Linear_B_js
581.234	built_ins_RegExp_property_escapes_generated_Script___Runic_js
576.547	built_ins_RegExp_property_escapes_generated_Script_Extensions___Anatolian_Hieroglyphs_js
575.656	built_ins_RegExp_property_escapes_generated_Script___Common_js
574.578	built_ins_RegExp_property_escapes_generated_Script_Extensions___Hanunoo_js
573.797	built_ins_RegExp_property_escapes_generated_Script_Extensions___New_Tai_Lue_js
572.000	built_ins_RegExp_property_escapes_generated_General_Category___Other_Punctuation_js
571.984	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tamil_js
570.953	built_ins_RegExp_property_escapes_generated_Script___Rejang_js
570.156	built_ins_RegExp_property_escapes_generated_Script_Extensions___Ahom_js
569.078	built_ins_RegExp_property_escapes_generated_Script___Linear_A_js
565.688	built_ins_RegExp_property_escapes_generated_Script_Extensions___Takri_js
563.672	language_identifiers_start_unicode_13_0_0_escaped_js
563.297	built_ins_RegExp_property_escapes_generated_Script_Extensions___Nandinagari_js
562.922	built_ins_RegExp_property_escapes_generated_Script_Extensions___Hanifi_Rohingya_js
562.766	built_ins_RegExp_property_escapes_generated_Script___Limbu_js
562.672	built_ins_RegExp_property_escapes_generated_Script___Psalter_Pahlavi_js
560.703	built_ins_RegExp_property_escapes_generated_Script___Chorasmian_js
555.562	built_ins_RegExp_property_escapes_generated_Script_Extensions___Adlam_js
554.812	built_ins_RegExp_property_escapes_generated_Script___Cherokee_js
552.562	built_ins_RegExp_property_escapes_generated_Script___Cham_js
551.984	built_ins_RegExp_property_escapes_generated_General_Category___Other_Number_js
551.875	built_ins_RegExp_property_escapes_generated_Script_Extensions___Hangul_js
550.688	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tai_Yo_js
548.625	built_ins_RegExp_property_escapes_generated_Script_Extensions___Han_js
548.531	built_ins_RegExp_property_escapes_generated_Script___Phoenician_js
548.141	built_ins_RegExp_property_escapes_generated_Script___Lepcha_js
547.094	built_ins_RegExp_property_escapes_generated_Script_Extensions___Nag_Mundari_js
544.938	built_ins_RegExp_property_escapes_generated_General_Category___Other_Letter_js
542.250	built_ins_RegExp_property_escapes_generated_Script___Phags_Pa_js
541.891	built_ins_RegExp_property_escapes_generated_Script_Extensions___Gurung_Khema_js
541.031	built_ins_RegExp_property_escapes_generated_Script_Extensions___Nabataean_js
540.750	built_ins_RegExp_property_escapes_generated_Script___Zanabazar_Square_js
537.453	built_ins_RegExp_property_escapes_generated_Script___Chakma_js
535.562	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tai_Viet_js
533.484	built_ins_RegExp_property_escapes_generated_Script___Latin_js
531.609	built_ins_RegExp_property_escapes_generated_Script___Pau_Cin_Hau_js
530.609	built_ins_RegExp_property_escapes_generated_Script_Extensions___Myanmar_js
529.328	built_ins_RegExp_property_escapes_generated_Script_Extensions___Gurmukhi_js
527.656	built_ins_RegExp_property_escapes_generated_General_Category___Open_Punctuation_js
527.016	built_ins_RegExp_property_escapes_generated_Script___Yi_js
526.906	built_ins_RegExp_property_escapes_generated_Script___Caucasian_Albanian_js
525.109	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tai_Tham_js
524.344	built_ins_RegExp_property_escapes_generated_Script_Extensions___Multani_js
522.469	built_ins_RegExp_property_escapes_generated_Script_Extensions___Gunjala_Gondi_js
521.109	built_ins_RegExp_property_escapes_generated_Script___Lao_js
520.938	built_ins_RegExp_property_escapes_generated_Script___Palmyrene_js
520.781	built_ins_RegExp_property_escapes_generated_Script___Yezidi_js
519.625	language_identifiers_start_unicode_5_2_0_class_js
516.109	built_ins_RegExp_property_escapes_generated_Script___Carian_js
512.359	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tai_Le_js
512.234	language_identifiers_start_unicode_5_2_0_class_escaped_js
511.875	built_ins_RegExp_property_escapes_generated_Script_Extensions___Gujarati_js
510.797	built_ins_RegExp_property_escapes_generated_Script___Warang_Citi_js
510.688	built_ins_RegExp_property_escapes_generated_Script___Kirat_Rai_js
510.562	built_ins_RegExp_property_escapes_generated_General_Category___Number_js
510.328	built_ins_RegExp_property_escapes_generated_Script___Pahawh_Hmong_js
509.547	built_ins_RegExp_property_escapes_generated_Script_Extensions___Mro_js
505.734	built_ins_RegExp_property_escapes_generated_Script___Canadian_Aboriginal_js
504.672	built_ins_RegExp_property_escapes_generated_Script___Khudawadi_js
503.312	language_identifiers_start_unicode_17_0_0_js
501.578	built_ins_RegExp_property_escapes_generated_Script_Extensions___Greek_js
498.781	built_ins_RegExp_property_escapes_generated_Script_Extensions___Mongolian_js
498.375	built_ins_RegExp_property_escapes_generated_Script___Osmanya_js
496.156	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tagbanwa_js
495.344	built_ins_RegExp_property_escapes_generated_General_Category___Nonspacing_Mark_js
494.906	built_ins_RegExp_property_escapes_generated_Script___Buhid_js
493.859	built_ins_RegExp_property_escapes_generated_Script___Khojki_js
491.844	built_ins_RegExp_property_escapes_generated_Script___Osage_js
490.641	built_ins_RegExp_property_escapes_generated_Script___Wancho_js
485.500	built_ins_RegExp_property_escapes_generated_Script_Extensions___Tagalog_js
485.469	built_ins_RegExp_property_escapes_generated_Script_Extensions___Grantha_js
484.609	built_ins_RegExp_property_escapes_generated_Script___Buginese_js
483.844	built_ins_RegExp_property_escapes_generated_Script_Extensions___Modi_js
482.531	built_ins_RegExp_property_escapes_generated_Script___Braille_js
480.906	built_ins_RegExp_property_escapes_generated_Script___Vithkuqi_js
479.078	built_ins_RegExp_property_escapes_generated_Script___Khmer_js
477.141	built_ins_RegExp_property_escapes_generated_Script___Oriya_js
476.016	built_ins_RegExp_property_escapes_generated_Script_Extensions___Miao_js
475.453	built_ins_RegExp_property_escapes_generated_Script_Extensions___Syriac_js
473.391	built_ins_RegExp_property_escapes_generated_Script_Extensions___Gothic_js
472.234	language_identifiers_start_unicode_13_0_0_class_js
471.344	built_ins_RegExp_property_escapes_generated_Script___Vai_js
470.641	built_ins_RegExp_property_escapes_generated_General_Category___Modifier_Symbol_js
470.594	language_identifiers_start_unicode_13_0_0_class_escaped_js
466.891	built_ins_RegExp_property_escapes_generated_Script_Extensions___Glagolitic_js
466.656	built_ins_RegExp_property_escapes_generated_Script___Old_Uyghur_js
466.547	built_ins_RegExp_property_escapes_generated_Script___Brahmi_js
465.703	built_ins_RegExp_property_escapes_generated_Script_Extensions___Meroitic_Hieroglyphs_js
464.453	built_ins_RegExp_property_escapes_generated_Script_Extensions___Syloti_Nagri_js
463.969	built_ins_RegExp_property_escapes_generated_Script___Unknown_js
463.359	language_identifiers_start_unicode_12_0_0_js
462.750	language_identifiers_start_unicode_12_0_0_escaped_js
462.594	built_ins_RegExp_property_escapes_generated_Script___Khitan_Small_Script_js
461.984	language_identifiers_start_unicode_12_0_0_class_js
461.562	language_identifiers_start_unicode_12_0_0_class_escaped_js
460.359	built_ins_RegExp_property_escapes_generated_Script___Bopomofo_js
460.312	built_ins_RegExp_property_escapes_generated_Script___Old_Turkic_js
458.531	built_ins_RegExp_property_escapes_generated_Script_Extensions___Sunuwar_js
455.406	language_identifiers_start_unicode_11_0_0_js
454.906	language_identifiers_start_unicode_11_0_0_escaped_js
454.812	built_ins_RegExp_property_escapes_generated_General_Category___Modifier_Letter_js
454.719	built_ins_RegExp_property_escapes_generated_Script_Extensions___Meroitic_Cursive_js
453.828	built_ins_RegExp_property_escapes_generated_Script___Old_South_Arabian_js
451.953	built_ins_RegExp_property_escapes_generated_Script___Kharoshthi_js
451.906	built_ins_RegExp_property_escapes_generated_Script_Extensions___Georgian_js
450.328	language_identifiers_start_unicode_10_0_0_js
448.312	built_ins_RegExp_property_escapes_grammar_extension_unopened_js
448.078	built_ins_RegExp_property_escapes_generated_Script___Bhaiksuki_js
447.938	language_identifiers_start_unicode_11_0_0_class_js
447.734	built_ins_RegExp_property_escapes_grammar_extension_unopened_negated_js
447.734	built_ins_RegExp_property_escapes_generated_Script_Extensions___Sundanese_js
447.078	built_ins_RegExp_property_escapes_grammar_extension_unclosed_js
446.359	built_ins_RegExp_property_escapes_grammar_extension_unclosed_negated_js
445.812	built_ins_RegExp_property_escapes_grammar_extension_separator_js
445.047	built_ins_RegExp_property_escapes_grammar_extension_separator_only_js
444.422	built_ins_RegExp_property_escapes_grammar_extension_separator_only_negated_js
443.766	built_ins_RegExp_property_escapes_grammar_extension_separator_negated_js
443.172	built_ins_RegExp_property_escapes_grammar_extension_separator_and_value_only_js
442.562	built_ins_RegExp_property_escapes_grammar_extension_separator_and_value_only_negated_js
442.438	built_ins_RegExp_property_escapes_generated_General_Category___Math_Symbol_js
441.828	built_ins_RegExp_property_escapes_grammar_extension_no_braces_js
441.750	language_identifiers_start_unicode_11_0_0_class_escaped_js
441.234	built_ins_RegExp_property_escapes_generated_Script_Extensions___Garay_js
441.141	built_ins_RegExp_property_escapes_grammar_extension_no_braces_value_js
440.547	built_ins_RegExp_property_escapes_grammar_extension_no_braces_value_negated_js
439.891	built_ins_RegExp_property_escapes_generated_Script___Kayah_Li_js
439.859	built_ins_RegExp_property_escapes_grammar_extension_no_braces_negated_js
439.203	built_ins_RegExp_property_escapes_grammar_extension_invalid_js
438.609	built_ins_RegExp_property_escapes_grammar_extension_invalid_negated_js
438.266	built_ins_RegExp_property_escapes_generated_Script___Old_Sogdian_js
437.953	built_ins_RegExp_property_escapes_grammar_extension_empty_js
437.703	built_ins_RegExp_property_escapes_generated_Script___Beria_Erfe_js
437.391	built_ins_RegExp_property_escapes_grammar_extension_empty_negated_js
434.484	built_ins_RegExp_property_escapes_generated_Script___Ugaritic_js
